Company Name ,Ticker Symbol ,Disclosure Score,Performance Band,Scope 1 (metric tonnes CO2e),Scope 2 (metric tonnes CO2e)
CSX Corporation,CSX US,95,A,5268905,300170
Valero Energy Corporation,VLO US,,,,
3M Company,MMM US,70,D,4540000,2230000
Walgreen Company,WAG US,86,C,,
"Prudential Financial, Inc.",PRU US,63,C,5090,70613
"The Home Depot, Inc.",HD US,99,A-,250224,2529646
Las Vegas Sands Corporation,LVS US,98,A-,225157,821527
Bank of America,BAC US,98,A,116666,1421829
Danaher Corporation,DHR US,12,,,
Discover Financial Services,DFS US,,,,
"EOG Resources, Inc.",EOG US,,,,
"American International Group, Inc.",AIG US,62,D,,
McKesson Corporation,MCK US,,,,
Mondelez International Inc,MDLZ US,91,B,1075761,954755
American Tower Corp.,AMT US,,,,
Alexion Pharmaceuticals,ALXN US,,,,
FedEx Corporation,FDX US,80,B,14602697,959109
Comcast Corporation,CMCSA US,,,,
Public Storage,PSA US,,,,
General Dynamics Corporation,GD US,,,,
Union Pacific Corporation,UNP US,98,B,11595509,407176
Duke Energy Corporation,DUK US,67,C,123430000,
"Franklin Resources, Inc.",BEN US,86,C,8175,29552
Marathon Petroleum,MPC US,,,,
DIRECTV,DTV US,91,B,106060,88145
"Medtronic, Inc.",MDT US,61,D,31460,170685
Kimberly-Clark Corporation,KMB US,72,C,2461675,2967804
Express Scripts Holding Company,MHS US,,,,
Thermo Fisher Scientific Inc.,TMO US,75,D,64863,297992
Norfolk Southern Corp.,NSC US,90,B,4925238,252854
H.J. Heinz Company,HNZ US,27,,,
"WellPoint, Inc.",WLP US,57,C,7460,114199
Chevron Corporation,CVX US,97,A-,58559220,3849319
"Praxair, Inc.",PX US,98,B,5355000,11329000
Twenty-First Century Fox,FOX US,97,A-,62360,376022
Costco Wholesale Corporation,COST US,45,,362802,1197983
Kraft Foods,KRFT US,81,B,477813,695225
Newmont Mining Corporation,NEM US,92,B,4016150,1182740
Google Inc.,GOOG US,93,B,37187,1149988
Microsoft Corporation,MSFT US,96,A,48516,1207419
"Adobe Systems, Inc.",ADBE US,97,A,2744,22995
Intuitive Surgical Inc.,ISRG US,,,,
The Coca-Cola Company,KO US,90,A-,2551626,1138377
Bristol-Myers Squibb,BMY US,96,B,269734,262565
"Gilead Sciences, Inc.",GILD US,,,,
CenturyLink,CTL US,66,D,279522.5,2079911.5
Monsanto Company,MON US,70,D,1610000,539000
Precision Castparts Corp.,PCP US,,,,
State Street Corporation,STT US,87,C,10009.07,98756
"Lowe's Companies, Inc.",LOW US,85,D,303721,2552740
General Electric Company,GE US,72,C,1970000,2905000
Caterpillar Inc.,CAT US,,,,
Oracle Corporation,ORCL US,79,C,16481,440773
"Marsh & McLennan Companies, Inc.",MMC US,98,B,3429.21,97423.43
Dow Chemical Company,DOW US,90,B,27429000,8403000
Viacom Inc.,VIAB US,60,D,,
JPMorgan Chase & Co.,JPM US,91,B,83343,1219748
Colgate Palmolive Company,CL US,99,B,232574,435061
Honeywell International Inc.,HON US,74,B,5532844,1756275
Halliburton Company,HAL US,65,D,4211808,839363
ConocoPhillips,COP US,83,B,24171000,1638000
AT&T Inc.,T US,96,B,948441,7894626
Abbott Laboratories,ABT US,84,B,470781,537821
