Date Made Public,Company,Location,Type of breach,Type of organization,Records Breached,Total Records,Description of incident,Information Source
11-May-09,Multiple financial institutions,"New York, New York",CARD,BSF,Unknown,Unknown,"A band of brazen thieves ripped 
          off hundreds of New Yorkers by rigging ATMs to steal account and password 
          information from bank customers. The first - a skimmer - went over the 
          slot where customers insert their ATM cards. The skimmer read, and 
          stored, the personal information kept in the magnetic strip on the back 
          of the bank card. The second device was a tiny camera hidden in the lighted 
          signs over the ATM. The pinhole camera lens pointed directly onto the 
          ATM keypad and filmed victims typing in their supposedly secret PIN 
          codes. The thieves would then create their own phony ATM cards and use 
          their victims' PINs to access accounts.",Media
1-May-09,"LexisNexis, Investigative Professionals","Miamisburg, Ohio",CARD,BSO,"40,000","40,000","Companies Lexis Nexis and Investigative 
          Professionals have notified up to 40,000 individuals whose sensitive 
          and personally identifiable information may have been viewed 
          by individuals who did not have legitimate access. The data breach is linked 
          to a Nigerian scam artist who used the information to incur fraudulent 
          charges on victims' credit cards. Of the 40,000 individuals whose 
          information was accessed, up to 300 were compromised and used to obtain 
          fraudulent credit cards. The private information viewed included names, 
          dates of birth and possibly Social Security numbers.",Dataloss DB
1-May-08,Lunardi's Supermarket,"Los Gatos, California",CARD,BSR,"100, updated amount 250",250,"An ATM and credit card reader              in a checkout aisle at the Los Gatos Lunardi's supermarket was recently              switched, resulting in cases of identity theft. Victims all had their              card numbers stolen after officials from Lunardi's contacted them              about a problem with one of their card readers.UPDATE             (8/4/08): Police arrested a man Friday that was involved with the              ATM scam at a Los Gatos supermarket that lost about $300,000. He was              booked into the Santa Clara County Jail in connection with burglary,              conspiracy, drunken driving, and further charges may be filed later,              according to the district attorney's office.",Dataloss DB
7-Apr-08,Redbox,"Oakbrook Terrace, Illinois",CARD,BSR,Unknown,Unknown,"Redbox rents DVD movies via vending 
            machine in drugstores and supermarkets throughout the country. They 
            announced that they'd found credit card skimmers attached to three 
            of their kiosks.",Media
23-Jun-08,Bank Atlantic,"Tampa, Florida",CARD,BSF,Unknown,Unknown,"Bank Atlantic confirms they had 
            a data loss, involving their MasterCard debit cards. It happened through 
            a local merchant, but at this time, isn't saying which one.",Media
3-Nov-06,West Shore Bank,"Ludington, Michigan",CARD,BSF,"About 1,000","1,000","Customers' debit cards and 
            possibly credit cards were compromised from a security break last 
            summer at a common MasterCard point-of-purchase provider.",Dataloss DB
3-Nov-06,Wesco   ,"Muskegon, Michigan",CARD,BSR,Unknown,Unknown,"Wesco gas stations experienced 
            a breach in credit card transactions from July 25-Sept. 7 resulting 
            in inaccurate charges to customer accounts.",Dataloss DB
21-Apr-07,Albertsons (Save Mart Supermarkets)         ,"Alameda, California",CARD,BSR,Over 100,100,Credit and debit card numbers were stolen using bogus checkout-line card readers resulting in card numbers processed at those terminals being captured and some to be misused.,Dataloss DB
19-Feb-07,Stop & Shop Supermarkets ,"Quincy, Massachusetts",CARD,BSR,Unknown,Unknown,"Credit and debit card account 
            information including PIN numbers was stolen by high-tech thieves 
            who apparently broke into checkout-line card readers and PIN pads 
            and tampered with them.",Dataloss DB
9-Nov-06,Four ARCO gas stations,"Costa Mesa, California",CARD,BSR,At least 440,440,"From Sept. 29 to Oct. 9, 
            thieves used card skimmers to steal bank account numbers and PIN codes 
            from gas station customers and used the information to fabricate debit 
            cards and make ATM withdrawals.",Dataloss DB
